850,212,164,4,4
806,238,173,8,4
726,284,177,12,4
617,354,172,16,4
502,462,177,20,4
417,566,172,24,4
340,695,165,28,4
292,799,162,32,4
240,884,149,36,4
214,933,138,40,4
190,931,133,44,4
878,140,204,4,8
810,175,211,8,8
724,216,222,12,8
629,273,219,16,8
516,358,216,20,8
425,467,211,24,8
335,609,195,28,8
291,711,191,32,8
243,818,185,36,8
203,910,172,40,8
173,935,163,44,8
848,130,242,4,12
785,158,254,8,12
706,197,262,12,12
605,255,270,16,12
514,322,268,20,12
425,418,261,24,12
352,532,247,28,12
293,657,230,32,12
245,759,219,36,12
207,850,205,40,12
177,880,194,44,12
764,131,295,4,16
727,154,305,8,16
655,189,318,12,16
565,240,329,16,16
482,300,325,20,16
401,388,319,24,16
338,483,302,28,16
285,588,285,32,16
237,688,261,36,16
201,750,247,40,16
176,786,230,44,16
668,122,353,4,20
632,150,369,8,20
582,179,385,12,20
505,227,397,16,20
443,277,394,20,20
373,343,391,24,20
318,426,373,28,20
272,521,340,32,20
227,598,313,36,20
194,654,290,40,20
169,673,267,44,20
588,115,386,4,24
558,139,426,8,24
500,170,470,12,24
453,201,485,16,24
389,251,485,20,24
339,313,462,24,24
296,374,443,28,24
255,442,409,32,24
212,507,372,36,24
184,552,335,40,24
162,558,306,44,24
483,108,457,4,28
461,127,512,8,28
429,156,558,12,28
391,188,581,16,28
344,225,585,20,28
302,272,568,24,28
264,321,534,28,28
232,359,501,32,28
199,410,444,36,28
178,452,394,40,28
149,453,353,44,28
396,104,542,4,32
377,120,616,8,32
361,145,663,12,32
337,172,692,16,32
295,201,706,20,32
267,233,694,24,32
235,262,656,28,32
208,300,596,32,32
178,329,532,36,32
158,360,462,40,32
148,364,418,44,32
336,98,604,4,36
329,116,680,8,36
302,130,771,12,36
280,152,819,16,36
260,170,840,20,36
238,202,801,24,36
214,230,751,28,36
193,260,674,32,36
170,277,607,36,36
152,297,526,40,36
143,312,466,44,36
278,96,673,4,40
270,108,768,8,40
260,121,852,12,40
245,136,908,16,40
229,156,938,20,40
215,177,917,24,40
195,199,839,28,40
178,225,744,32,40
162,247,652,36,40
146,260,567,40,40
137,263,502,44,40
237,91,708,4,44
234,99,796,8,44
228,112,900,12,44
220,125,969,16,44
202,140,1016,20,44
187,156,983,24,44
170,168,923,28,44
159,184,830,32,44
144,200,712,36,44
134,209,616,40,44
126,213,535,44,44
208,84,694,4,48
210,95,816,8,48
208,107,914,12,48
195,116,987,16,48
188,132,1025,20,48
175,143,1008,24,48
160,154,940,28,48
147,164,840,32,48
134,174,730,36,48
127,186,617,40,48
118,190,534,44,48
501,263,350,18,18
468,290,349,20,18
424,330,347,22,18
389,372,344,24,18
361,411,337,26,18
332,455,329,28,18
311,501,321,30,18
279,568,307,32,18
256,608,296,34,18
235,652,286,36,18
217,688,275,38,18
196,708,267,40,18
188,733,256,42,18
174,736,246,44,18
678,116,339,2,20
668,122,353,4,20
663,133,354,6,20
632,150,369,8,20
612,162,378,10,20
582,179,385,12,20
549,200,387,14,20
505,227,397,16,20
480,248,392,18,20
443,277,394,20,20
404,312,391,22,20
373,343,391,24,20
342,385,382,26,20
318,426,373,28,20
292,475,355,30,20
272,521,340,32,20
247,565,325,34,20
227,598,313,36,20
211,631,301,38,20
194,654,290,40,20
180,665,280,42,20
169,673,267,44,20
629,112,353,2,22
623,119,367,4,22
611,130,385,6,22
591,144,399,8,22
568,159,414,10,22
542,173,425,12,22
508,193,441,14,22
483,213,441,16,22
449,238,439,18,22
414,265,437,20,22
390,295,436,22,22
355,331,426,24,22
333,362,418,26,22
307,397,405,28,22
287,437,393,30,22
262,478,374,32,22
240,522,355,34,22
218,552,340,36,22
203,581,326,38,22
188,597,314,40,22
176,607,301,42,22
170,621,287,44,22
592,108,369,2,24
588,115,386,4,24
565,126,416,6,24
558,139,426,8,24
532,152,447,10,24
500,170,470,12,24
477,183,479,14,24
453,201,485,16,24
419,225,484,18,24
389,251,485,20,24
366,279,474,22,24
339,313,462,24,24
315,338,456,26,24
296,374,443,28,24
272,407,430,30,24
255,442,409,32,24
238,475,390,34,24
212,507,372,36,24
198,530,355,38,24
184,552,335,40,24
169,556,320,42,24
162,558,306,44,24
514,101,412,2,26
506,112,444,4,26
511,121,454,6,26
498,135,480,8,26
481,148,499,10,26
460,160,514,12,26
439,175,527,14,26
418,193,534,16,26
385,216,539,18,26
362,235,544,20,26
341,257,534,22,26
318,286,522,24,26
296,312,512,26,26
276,339,498,28,26
256,371,474,30,26
242,408,449,32,26
224,422,435,34,26
204,458,405,36,26
189,476,385,38,26
176,490,367,40,26
165,498,348,42,26
155,504,326,44,26
478,100,433,2,28
483,108,457,4,28
473,117,484,6,28
461,127,512,8,28
446,141,539,10,28
429,156,558,12,28
412,170,568,14,28
391,188,581,16,28
364,205,584,18,28
344,225,585,20,28
327,241,584,22,28
302,272,568,24,28
288,292,555,26,28
264,321,534,28,28
251,346,514,30,28
232,359,501,32,28
214,387,471,34,28
199,410,444,36,28
185,437,415,38,28
178,452,394,40,28
159,451,374,42,28
149,453,353,44,28
444,94,452,2,30
440,104,493,4,30
435,114,521,6,30
426,123,550,8,30
410,138,584,10,30
399,147,599,12,30
382,160,623,14,30
358,178,647,16,30
339,191,649,18,30
317,210,656,20,30
304,228,642,22,30
282,249,632,24,30
268,270,614,26,30
249,290,592,28,30
236,305,575,30,30
222,333,539,32,30
208,354,513,34,30
192,371,486,36,30
177,389,450,38,30
163,400,429,40,30
153,403,411,42,30
144,406,382,44,30
408,96,510,2,32
396,104,542,4,32
397,111,565,6,32
377,120,616,8,32
371,128,636,10,32
361,145,663,12,32
345,156,690,14,32
337,172,692,16,32
319,188,697,18,32
295,201,706,20,32
281,214,711,22,32
267,233,694,24,32
250,250,685,26,32
235,262,656,28,32
222,284,631,30,32
208,300,596,32,32
193,319,556,34,32
178,329,532,36,32
172,347,497,38,32
158,360,462,40,32
148,363,437,42,32
148,364,418,44,32
370,95,545,2,34
366,99,571,4,34
361,106,604,6,34
352,118,650,8,34
347,127,678,10,34
337,138,703,12,34
316,148,746,14,34
304,159,760,16,34
294,171,774,18,34
280,183,769,20,34
263,201,769,22,34
253,215,753,24,34
238,233,720,26,34
222,247,701,28,34
214,261,674,30,34
199,274,642,32,34
184,292,601,34,34
174,303,566,36,34
165,315,532,38,34
156,324,496,40,34
143,332,462,42,34
144,333,440,44,34
330,92,575,2,36
336,98,604,4,36
328,105,647,6,36
329,116,680,8,36
320,124,722,10,36
302,130,771,12,36
291,141,800,14,36
280,152,819,16,36
273,163,831,18,36
260,170,840,20,36
247,186,830,22,36
238,202,801,24,36
226,216,782,26,36
214,230,751,28,36
201,241,719,30,36
193,260,674,32,36
177,267,641,34,36
170,277,607,36,36
159,287,566,38,36
152,297,526,40,36
147,307,491,42,36
143,312,466,44,36
300,92,613,2,38
291,94,656,4,38
288,101,700,6,38
283,108,747,8,38
275,116,796,10,38
273,124,820,12,38
267,134,856,14,38
259,141,874,16,38
248,154,887,18,38
237,162,901,20,38
229,172,891,22,38
218,186,869,24,38
210,195,858,26,38
200,214,802,28,38
189,223,765,30,38
182,236,723,32,38
172,251,673,34,38
163,258,635,36,38
152,262,593,38,38
146,268,561,40,38
144,276,521,42,38
139,278,489,44,38
271,90,645,2,40
278,96,673,4,40
278,101,712,6,40
270,108,768,8,40
263,113,808,10,40
260,121,852,12,40
253,128,886,14,40
245,136,908,16,40
237,146,931,18,40
229,156,938,20,40
221,165,930,22,40
215,177,917,24,40
203,186,881,26,40
195,199,839,28,40
189,210,801,30,40
178,225,744,32,40
171,233,711,34,40
162,247,652,36,40
153,253,600,38,40
146,260,567,40,40
142,264,531,42,40
137,263,502,44,40
249,87,653,2,42
252,92,685,4,42
244,93,744,6,42
246,103,792,8,42
241,110,851,10,42
240,115,882,12,42
239,124,917,14,42
235,132,943,16,42
227,140,966,18,42
216,150,982,20,42
205,157,973,22,42
199,165,961,24,42
192,172,936,26,42
184,181,896,28,42
176,189,851,30,42
165,197,804,32,42
156,205,746,34,42
143,210,689,36,42
142,219,639,38,42
129,217,605,40,42
133,229,566,42,42
127,227,531,44,42
237,88,663,2,44
237,91,708,4,44
232,93,751,6,44
234,99,796,8,44
230,106,859,10,44
228,112,900,12,44
215,110,936,14,44
220,125,969,16,44
