316  414  888  0  0 
289  438  732  2  0 
320  473  737  4  0 
313  438  735  6  0 
338  436  754  8  0 
337  501  751  10  0 
341  526  740  12  0 
345  561  729  14  0 
340  596  705  16  0 
337  631  680  18  0 
334  669  652  20  0 
335  701  626  22  0 
330  727  599  24  0 
307  741  555  26  0 
286  750  514  28  0 
298  788  493  30  0 
313  824  478  32  0 
326  851  461  34  0 
320  860  432  36  0 
324  860  406  38  0 
320  855  418  40  0 
292  827  379  42  0 
290  824  363  44  0 
284  997  313  46  0 
327  404  943  0  2 
318  468  774  2  2 
340  506  788  4  2 
355  480  805  6  2 
363  496  809  8  2 
372  520  799  10  2 
374  546  783  12  2 
374  572  759  14  2 
370  614  736  16  2 
367  648  705  18  2 
384  694  682  20  2 
383  732  654  22  2 
394  774  634  24  2 
396  803  612  26  2 
398  836  589  28  2 
338  844  517  30  2 
323  853  488  32  2 
330  873  470  34  2 
339  894  454  36  2 
347  903  444  38  2 
341  907  450  40  2 
326  896  427  42  2 
318  911  380  44  2 
343  1143  337  46  2 
343  397  810  0  4 
350  413  832  2  4 
366  454  850  4  4 
359  464  851  6  4 
360  493  848  8  4 
357  510  838  10  4 
385  546  829  12  4 
400  587  808  14  4 
436  658  791  16  4 
434  693  769  18  4 
431  739  743  20  4 
431  771  712  22  4 
429  813  671  24  4 
441  854  642  26  4 
445  882  619  28  4 
449  914  590  30  4 
456  945  566  32  4 
444  965  533  34  4 
389  957  478  36  4 
355  941  440  38  4 
349  943  418  40  4 
346  933  413  42  4 
366  938  385  44  4 
357  910  368  46  4 
419  446  885  0  6 
396  462  903  4  6 
470  523  935  6  6 
474  541  932  8  6 
473  592  903  12  6 
488  685  839  16  6 
483  770  779  20  6 
494  840  719  24  6 
478  907  649  28  6 
476  967  588  32  6 
470  1013  533  36  6 
441  1019  465  40  6 
420  990  414  44  6 
458  474  918  0  8 
496  508  935  4  8 
500  554  961  8  8 
520  604  944  12  8 
527  710  868  16  8 
532  774  812  20  8 
529  863  742  24  8 
521  933  673  28  8 
502  991  601  32  8 
494  1040  538  36  8 
487  1059  485  40  8 
456  1027  434  44  8 
501  474  947  0  10 
526  520  987  4  10 
534  566  985  8  10 
556  621  972  12  10 
568  733  892  16  10 
585  799  837  20  10 
581  881  759  24  10 
571  954  694  28  10 
566  1019  626  32  10 
501  1048  539  36  10 
510  1073  502  40  10 
493  1060  444  44  10 
492  480  956  0  12 
554  523  1007  4  12 
581  578  1004  8  12 
602  628  989  12  12 
622  745  908  16  12 
642  817  859  20  12 
633  887  788  24  12 
633  968  710  28  12 
616  1026  642  32  12 
600  1076  571  36  12 
577  1098  516  40  12 
540  1077  454  44  12 
589  498  973  0  14 
610  541  1013  4  14 
623  577  1017  8  14 
650  634  1000  12  14 
672  751  923  16  14 
686  813  864  20  14 
696  890  798  24  14 
669  966  718  28  14 
663  1026  649  32  14 
629  1076  577  36  14 
602  1098  521  40  14 
595  1077  473  44  14 
572  483  976  0  16 
641  526  1020  4  16 
662  570  1025  8  16 
687  627  1004  12  16 
729  743  936  16  16 
736  812  874  20  16 
743  886  801  24  16 
732  958  726  28  16 
703  1027  648  32  16 
669  1075  576  36  16 
634  1093  523  40  16 
614  1068  474  44  16 
676  467  974  0  18 
677  527  1017  4  18 
707  566  1023  8  18 
742  623  1004  12  18 
789  735  937  16  18 
795  803  876  20  18 
798  874  803  24  18 
787  944  727  28  18 
760  1007  652  32  18 
710  1056  583  36  18 
725  1077  529  40  18 
682  1046  479  44  18 
661  461  965  0  20 
727  493  1013  4  20 
721  575  1014  8  20 
775  612  996  12  20 
847  717  933  16  20 
831  787  869  20  20 
836  860  792  24  20 
839  927  720  28  20 
818  987  650  32  20 
781  1034  573  36  20 
743  1046  520  40  20 
710  1018  481  44  20 
749  455  943  0  22 
783  488  989  4  22 
814  563  1000  8  22 
834  602  985  12  22 
887  684  931  16  22 
890  763  866  20  22 
888  843  792  24  22 
860  914  709  28  22 
874  961  642  32  22 
838  1005  572  36  22 
793  1017  516  40  22 
762  985  477  44  22 
721  449  923  0  24 
819  493  964  4  24 
870  534  976  8  24 
896  591  959  12  24 
980  671  905  16  24 
999  733  843  20  24 
989  810  777  24  24 
924  888  707  28  24 
901  938  629  32  24 
871  970  570  36  24 
813  985  512  40  24 
763  942  463  44  24 
770  428  880  0  26 
850  478  932  4  26 
921  521  950  8  26 
981  577  928  12  26 
1031  655  875  16  26 
1037  714  825  20  26 
1036  785  757  24  26 
1035  843  681  28  26 
1019  887  619  32  26 
967  923  550  36  26 
908  920  497  40  26 
827  876  443  44  26 
749  383  819  0  28 
880  464  903  4  28 
967  498  911  8  28 
1017  578  896  12  28 
1067  621  858  16  28 
1084  690  806  20  28 
1088  751  739  24  28 
1076  806  668  28  28 
1051  846  614  32  28 
1003  884  549  36  28 
940  887  497  40  28 
858  843  445  44  28 
800  397  810  0  30 
915  450  878  4  30 
988  488  888  8  30 
1059  546  873  12  30 
1103  619  832  16  30 
1139  655  784  20  30 
1152  714  716  24  30 
1125  767  662  28  30 
1087  820  600  32  30 
1050  842  543  36  30 
985  849  492  40  30 
896  814  444  44  30 
917  403  796  0  32 
983  433  836  4  32 
1049  474  846  8  32 
1092  536  848  12  32 
1127  601  815  16  32 
1145  659  764  20  32 
1170  705  695  24  32 
1174  736  638  28  32 
1132  779  582  32  32 
1093  795  533  36  32 
1023  802  490  40  32 
937  782  449  44  32 
949  395  757  0  34 
1014  433  808  4  34 
1076  467  817  8  34 
1139  500  807  12  34 
1232  530  741  16  34 
1234  618  729  20  34 
1202  690  686  24  34 
1209  723  615  28  34 
1194  734  574  32  34 
1153  751  526  36  34 
1089  740  469  40  34 
1020  723  442  44  34 
976  395  728  0  36 
1059  427  775  4  36 
1113  458  789  8  36 
1219  486  741  12  36 
1255  523  726  16  36 
1290  562  680  20  36 
1294  613  644  24  36 
1241  686  601  28  36 
1217  703  552  32  36 
1171  710  504  36  36 
1104  715  462  40  36 
1038  695  444  44  36 
991  390  688  0  38 
1082  403  721  4  38 
1169  430  720  8  38 
1225  465  716  12  38 
1270  505  701  16  38 
1305  550  655  20  38 
1318  579  612  24  38 
1314  597  568  28  38 
1236  673  539  32  38 
1184  688  503  36  38 
1126  676  453  40  38 
1068  643  421  44  38 
1004  381  675  0  40 
1095  405  703  4  40 
1173  417  701  8  40 
1240  444  693  12  40 
1292  473  677  16  40 
1327  521  639  20  40 
1338  552  594  24  40 
1331  565  551  28  40 
1300  579  503  32  40 
1238  622  477  36  40 
1142  645  442  40  40 
1066  622  419  44  40 
1027  362  621  0  42 
1107  364  639  4  42 
1182  394  661  8  42 
1245  428  671  12  42 
1301  458  656  16  42 
1337  496  616  20  42 
1351  522  581  24  42 
1336  551  538  28  42 
1296  569  494  32  42 
1244  571  448  36  42 
1176  566  415  40  42 
1080  560  392  44  42 
1017  357  591  0  44 
1099  371  633  4  44 
1179  393  648  8  44 
1212  415  648  12  44 
1303  444  629  16  44 
1346  481  583  20  44 
1358  504  550  24  44 
1343  518  523  28  44 
1298  547  486  32  44 
1237  563  444  36  44 
1168  553  413  40  44 
1072  534  383  44  44 
975  337  564  0  46 
1093  367  608  4  46 
1173  389  626  8  46 
1248  416  613  12  46 
1306  441  583  16  46 
1341  474  562  20  46 
1348  492  529  24  46 
1334  512  496  28  46 
1293  517  462  32  46 
1225  522  425  36  46 
1150  528  401  40  46 
1073  498  372  44  46 
963  309  505  0  48 
1053  329  553  4  48 
1147  354  561  8  48 
1230  385  568  12  48 
1290  411  563  16  48 
1323  443  550  20  48 
1335  473  507  24  48 
1318  483  485  28  48 
1276  497  450  32  48 
1212  494  417  36  48 
1133  481  384  40  48 
1029  472  355  44  48 
899  287  472  0  50 
1025  326  527  4  50 
1126  354  543  8  50 
1207  381  544  12  50 
1261  398  528  16  50 
1292  417  502  20  50 
1308  446  493  24  50 
1289  464  470  28  50 
1239  473  430  32  50 
1179  473  403  36  50 
1093  463  366  40  50 
1004  444  343  44  50 
462  481  920  2  6 
475  523  940  6  6 
446  583  910  10  6 
472  659  879  14  6 
487  742  823  18  6 
486  821  753  22  6 
502  898  686  26  6 
495  967  612  30  6 
482  1014  537  34  6 
462  1039  481  38  6 
453  1033  431  42  6 
410  987  403  46  6 
503  482  933  2  8 
521  523  957  6  8 
516  581  943  10  8 
520  660  902  14  8 
525  746  847  18  8 
528  831  777  22  8 
529  910  703  26  8 
511  973  632  30  8 
490  1024  565  34  8 
498  1058  500  38  8 
482  1058  453  42  8 
445  1005  422  46  8 
512  498  967  2  10 
532  549  985  6  10 
541  601  972  10  10 
560  677  934  14  10 
588  771  872  18  10 
596  850  801  22  10 
583  928  727  26  10 
568  994  659  30  10 
545  1049  581  34  10 
522  1075  524  38  10 
521  1083  472  42  10 
483  1037  431  46  10 
554  515  990  2  12 
577  558  1007  6  12 
600  605  1000  10  12 
614  680  963  14  12 
644  772  894  18  12 
638  848  822  22  12 
621  930  748  26  12 
610  1003  667  30  12 
599  1057  592  34  12 
591  1098  531  38  12 
560  1097  479  42  12 
533  1049  445  46  12 
591  514  1003  2  14 
624  557  1021  6  14 
659  611  1010  10  14 
668  673  978  14  14 
698  777  905  18  14 
686  856  835  22  14 
667  936  754  26  14 
660  1006  675  30  14 
646  1065  597  34  14 
629  1098  538  38  14 
614  1099  493  42  14 
573  1044  452  46  14 
620  517  1006  2  16 
647  537  1024  4  16 
656  555  1028  6  16 
693  627  1013  10  16 
724  705  969  14  16 
746  773  915  18  16 
738  854  842  22  16 
727  931  764  26  16 
720  997  684  30  16 
693  1054  610  34  16 
679  1092  551  38  16 
656  1092  501  42  16 
617  1036  459  46  16 
676  499  1009  2  18 
705  594  1032  6  18 
762  613  1015  10  18 
773  648  988  14  18 
778  763  910  18  18 
795  844  844  22  18 
799  925  764  26  18 
779  991  694  30  18 
758  1046  615  34  18 
732  1078  552  38  18 
690  1077  499  42  18 
640  1014  462  46  18 
704  493  999  2  20 
746  554  1025  6  20 
809  589  1011  10  20 
834  644  980  14  20 
839  753  907  18  20 
849  828  839  22  20 
848  910  759  26  20 
838  972  683  30  20 
811  1026  609  34  20 
784  1050  553  38  20 
754  1043  502  42  20 
696  981  464  46  20 
753  496  980  2  22 
797  517  1004  6  22 
860  587  992  10  22 
901  656  954  14  22 
911  735  897  18  22 
915  812  830  22  22 
906  883  749  26  22 
897  942  682  30  22 
868  992  612  34  22 
818  1017  548  38  22 
781  1012  500  42  22 
721  953  459  46  22 
769  480  953  2  24 
835  513  979  6  24 
898  585  970  10  24 
938  648  936  14  24 
965  708  885  18  24 
964  793  817  22  24 
966  863  740  26  24 
947  918  670  30  24 
922  958  605  34  24 
880  981  543  38  24 
831  973  495  42  24 
766  910  454  46  24 
818  461  921  2  26 
879  504  951  6  26 
955  567  944  10  26 
1004  624  916  14  26 
1020  701  863  18  26 
1034  769  795  22  26 
1030  826  732  26  26 
1012  881  665  30  26 
968  928  602  34  26 
925  945  538  38  26 
868  927  483  42  26 
778  852  419  46  26 
849  437  888  2  28 
926  491  921  6  28 
995  544  908  10  28 
1053  612  881  14  28 
1077  675  835  18  28 
1087  735  783  22  28 
1083  793  705  26  28 
1067  842  646  30  28 
1031  879  584  34  28 
978  895  526  38  28 
909  877  475  42  28 
801  799  407  46  28 
893  436  859  2  30 
962  478  889  6  30 
1052  533  880  10  30 
1085  599  856  14  30 
1128  647  803  18  30 
1141  702  755  22  30 
1136  760  690  26  30 
1114  802  631  30  30 
1071  843  572  34  30 
1023  850  516  38  30 
946  836  466  42  30 
859  778  418  46  30 
950  431  830  2  32 
1020  464  851  6  32 
1088  513  852  10  32 
1150  567  817  14  32 
